hostGroup,hostName,parasiteName,parType,parPhylum,prevalence,hostsSampled,samplingType,hostEnvironment,citation,parTransClose,nonclose,vector,intermediate,ParasiteTraitsCitation
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.529,17,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.071,14,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.351,37,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.25,4,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.059,17,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.292,72,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.5,4,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.357,14,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Alphacoronavirus Alphacoronavirus 1,Virus,RNA virus,0.03,67,Serology,terrestrial,Thalwitzer et al. 2010,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538;Hurst, C. J. 2000. Viral Ecology. Pg.539"
carnivores,Acinonyx_jubatus,Bacillus anthracis,Bacteria,Firmicutes,0.0435,23,Serology,terrestrial,Good et al. 2008,0,1,0,0,"Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002.;;Forbes, Sahm and Weissfeld. Bailey & Scott Diagnostic Microbiology. 2002."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.143,7,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.333,36,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.25,28,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.311,74,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.294,34,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.357,42,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.25,52,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Bartonella henselae,Bacteria,Proteobacteria,0.6,15,Serology,terrestrial,Molia et al. 2004,0,0,1,0,"Gutiérrez R, Krasnov B, Morick D, Gottlieb Y, Khokhlova IS, Harrus S.Bartonella Infection in Rodents and Their Flea Ectoparasites: An Overview.Vector Borne and Zoonotic Diseases. 2015;15(1):27-39."
carnivores,Acinonyx_jubatus,Helicobacter sp.,Bacteria,Proteobacteria,0.885,76,DirectOther,terrestrial,Munson et al. 2005,NA,NA,NA,NA,NA
carnivores,Acinonyx_jubatus,Hepatozoon sp.,Protozoa,Apicomplexa,1,2,DirectBlood,terrestrial,Averbeck et al. 1990,NA,NA,NA,NA,NA
carnivores,Acinonyx_jubatus,Hepatozoon sp.,Protozoa,Apicomplexa,1,6,DirectBlood,terrestrial,Averbeck et al. 1990,NA,NA,NA,NA,NA
carnivores,Acinonyx_jubatus,Lentivirus Feline immunodeficiency virus,Virus,RNA virus,0.29,41,Serology,terrestrial,Brown et al. 1993,1,0,0,0,"Teixeira BM, Hagiwara MK, Cruz JCM, Hosie MJ. Feline Immunodeficiency Virus in South America. Viruses. 2012;4(3):383-396. doi:10.3390/v4030383."
carnivores,Acinonyx_jubatus,Lentivirus Feline immunodeficiency virus,Virus,RNA virus,0.33,3,DirectBlood,terrestrial,Osofsky et al. 1996,1,0,0,0,"Teixeira BM, Hagiwara MK, Cruz JCM, Hosie MJ. Feline Immunodeficiency Virus in South America. Viruses. 2012;4(3):383-396. doi:10.3390/v4030383."
carnivores,Acinonyx_jubatus,Lyssavirus Rabies lyssavirus,Virus,RNA virus,0.049,42,Serology,terrestrial,Thalwitzer et al. 2010,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.9,10,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,1,7,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.243,70,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.333,12,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.5,8,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.571,7,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.667,3,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.088,34,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.333,6,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.059,17,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.143,14,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.667,3,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.1,10,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.118,17,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.571,14,Serology,terrestrial,Munson et al. 2004,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Morbillivirus Canine distemper virus,Virus,RNA virus,0.045,67,Serology,terrestrial,Thalwitzer et al. 2010,1,0,0,0,NA
carnivores,Acinonyx_jubatus,Mycobacterium bovis,Bacteria,Actinobacteria,1,1,DirectOther,terrestrial,Keet et al 1996a,1,1,0,0,"Garnett, B. T., R. J. Delahay, and T. J. Roper. “Use of Cattle Farm Resources by Badgers (meles Meles) and Risk of Bovine Tuberculosis (mycobacterium Bovis) Transmission to Cattle”. Proceedings: Biological Sciences269.1499 (2002): 1487–1491;;Palmer et al. 2001. Amberican Journal of Veterinary research."
carnivores,Acinonyx_jubatus,Neospora caninum,Protozoa,Apicomplexa,0.6,NA,Serology,terrestrial,Ferroglio et al. 2003,1,1,0,1,"Donahoe SL, Lindsay SA, Krockenberger M, Phalen D, Šlapeta J. A review of neosporosis and pathologic findings of Neospora caninum infection in wildlife.International Journal for Parasitology: Parasites and Wildlife. 2015;4(2):216-238. ;Donahoe et al. International Journal for Prasitology: Parasites and Wildlife. 2015."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.5,6,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.333,3,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.833,6,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.364,11,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,1,10,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.143,7,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.2,5,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.286,7,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,1,2,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.333,6,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.167,12,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.75,4,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.813,16,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.4,10,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.48,50,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.375,8,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.3,10,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.609,23,Serology,terrestrial,Munson et al. 2004,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Protoparvovirus Carnivore protoparvovirus 1,Virus,DNA virus,0.03,67,Serology,terrestrial,Thalwitzer et al. 2010,1,1,0,0,"Kapoor et. al. Journal of General Virology. 2011;Parthiban M, Aarthi KS, Balagangatharathilagar M, Kumanan K. Evidence of feline panleukopenia infection in cats in India. Virusdisease. 2014;25(4):497-499."
carnivores,Acinonyx_jubatus,Trichinella nelsoni,Helminth,Nematoda,0.2,5,DirectOther,terrestrial,Pozio et al. 1997,0,1,0,0,Marquardt W; Demaree; Grieve (2000). Parasitology and Vector Bology (2nd ed.). Harcourt Academic. pp.310
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.122,74,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.125,8,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.2,10,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.167,12,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.5,10,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.071,14,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.184,38,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.143,7,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.294,17,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.083,12,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.333,6,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,1,2,Serology,terrestrial,Munson et al. 2004,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Varicellovirus Felid alphaherpesvirus 1,Virus,DNA virus,0.03,62,Serology,terrestrial,Thalwitzer et al. 2010,1,0,0,0,"Maes R. Felid Herpesvirus Type 1 Infection in Cats: A Natural Host Model for Alphaherpesvirus Pathogenesis. ISRN Veterinary Science. 2012;2012:495830. doi:10.5402/2012/495830.;Hurst, C. J. 2000. Viral Ecology. Pg.498"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,0.667,6,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,1,3,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,1,7,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,0.188,16,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,0.727,11,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,1,2,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,0.9,10,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
carnivores,Acinonyx_jubatus,Vesivirus Feline calicivirus,Virus,RNA virus,0.833,6,Serology,terrestrial,Munson et al. 2004,0,1,0,0,"Hurst, C. J. 2000. Viral Ecology. Pg.538"
